file_path,label,script,x,y
oracle_selected_glyphs\人\0047cdcc-85ec-435b-aaa9-85380d9c2461.png,人,oracle,2.1404102,11.839956
oracle_selected_glyphs\人\9ff4efd3-911b-450b-b469-a7daf292a2b4.png,人,oracle,1.2606708,9.59892
oracle_selected_glyphs\人\c374c1c8-8209-4c56-af5c-b28d95cc44a2.png,人,oracle,2.0264783,9.858315
oracle_selected_glyphs\人\d21b793a-bda9-42d2-97a5-70df7a595265.png,人,oracle,1.2697619,10.925793
oracle_selected_glyphs\人\e62e1da9-f384-40bb-8ec7-d794f162ff9a.png,人,oracle,0.8684329,11.062949
oracle_selected_glyphs\卜\30f65d7b-2981-4f7a-a395-ce89ed118f2c.png,卜,oracle,2.5454195,10.650375
oracle_selected_glyphs\卜\7a9a729b-ba7b-4804-a863-4699eda23738.png,卜,oracle,0.29161814,9.265393
oracle_selected_glyphs\卜\8345a65f-1149-46f8-a234-b518b08d1e99.png,卜,oracle,2.7110195,10.114275
oracle_selected_glyphs\卜\fc640a50-137c-497f-968f-4d5a69ef90a0.png,卜,oracle,2.5193985,11.016371
oracle_selected_glyphs\占\30de8d66-f89b-4edb-98cd-90f671e92c4d.png,占,oracle,0.756276,10.02318
oracle_selected_glyphs\占\6dcea256-92fe-4448-812b-af0c1660aa76.png,占,oracle,0.67449874,10.21664
oracle_selected_glyphs\占\a80da40e-f906-4dca-857f-21df762ca32b.png,占,oracle,0.74311244,10.476009
oracle_selected_glyphs\占\d5a8cc8c-8a8c-4d96-8fbb-e5106343a075.png,占,oracle,2.0957465,12.2850895
oracle_selected_glyphs\史\10b0e7f3-5d3d-4f1a-bace-66338d49a27c.png,史,oracle,-0.4400953,9.857259
oracle_selected_glyphs\史\379535e1-7525-4429-8457-bd35e030f6a9.png,史,oracle,3.4023287,10.710748
oracle_selected_glyphs\史\60961822-ee65-44b0-955a-2a4f234dc342.png,史,oracle,2.0810378,9.523755
oracle_selected_glyphs\史\a54b5cb2-d24b-4bd9-868b-2be5dbf89efb.png,史,oracle,0.49616662,9.516441
oracle_selected_glyphs\史\e353456a-d6d6-441d-b140-1a4cbdf8ed14.png,史,oracle,-0.26599044,9.659924
oracle_selected_glyphs\巫\817b9b1a-0165-4295-84bb-7818c0774df4.png,巫,oracle,2.5088644,9.872697
oracle_selected_glyphs\巫\bb38e544-358a-474b-9435-bd1a17a043e4.png,巫,oracle,3.3610287,10.584668
oracle_selected_glyphs\巫\d8deb3e6-bf50-4abb-b158-0fd12c2083b3.png,巫,oracle,1.4400797,13.144022
oracle_selected_glyphs\巫\ecd47a9a-0b1a-4171-899b-21b0cd287a16.png,巫,oracle,2.5633628,12.471514
oracle_selected_glyphs\巫\fd4df6ab-7781-4851-acdb-3f4325d7ba15.png,巫,oracle,1.8961833,9.208315
oracle_selected_glyphs\帝\2cba12d2-e9b8-4126-9b12-8e6afe664055.png,帝,oracle,-0.2315892,11.089625
oracle_selected_glyphs\帝\5b69b845-cb54-4299-933d-46765e2d98f4.png,帝,oracle,-0.5542967,11.200438
oracle_selected_glyphs\帝\8b79dd8d-1af4-4544-8c9b-4bb710940fb4.png,帝,oracle,0.015766013,11.208571
oracle_selected_glyphs\帝\cb808e93-07eb-4ea3-ba31-0646d27a3733.png,帝,oracle,-0.20681305,11.531763
oracle_selected_glyphs\帝\ccdf330e-0d78-4b67-b745-9294fe349888.png,帝,oracle,-0.4617384,11.083771
oracle_selected_glyphs\日\07dff7ee-efc3-4a6f-ab53-1b398f2e66b3.png,日,oracle,1.3037947,10.092717
oracle_selected_glyphs\日\5fd99880-3f5c-4084-8df1-0650f8132497.png,日,oracle,1.3793049,10.427255
oracle_selected_glyphs\日\8d7d53ef-edf7-4d63-9bf4-6e73c73a20bd.png,日,oracle,1.3671951,11.847026
oracle_selected_glyphs\日\cc967aab-53f6-46a6-aa9d-eb324665f3a5.png,日,oracle,1.6200228,10.02827
oracle_selected_glyphs\星\330bb940-e0cf-4fbb-9647-810756bed959.png,星,oracle,1.5876088,12.2709465
oracle_selected_glyphs\星\835995df-8635-47b7-8ad7-3ce6d59c9aeb.png,星,oracle,1.1168765,9.164292
oracle_selected_glyphs\星\84a509c0-0286-4da6-9694-7e1dbfcf06d3.png,星,oracle,0.39164975,11.949967
oracle_selected_glyphs\星\db707311-1a5f-48a0-9a9e-ee0b020dbd5e.png,星,oracle,1.6390578,9.311897
oracle_selected_glyphs\星\de9afb2e-729d-4898-805c-918174cdb1d7.png,星,oracle,1.5200151,9.401593
oracle_selected_glyphs\星\e021e530-ba7a-449f-8ba3-b64f61bfd9fb.png,星,oracle,0.64518726,11.67097
oracle_selected_glyphs\月\065e915d-5083-4292-8161-89080abff378.png,月,oracle,2.2550876,10.283883
oracle_selected_glyphs\月\3519cb82-cefe-46aa-bcd1-b6b7673ccbba.png,月,oracle,2.3565137,11.510299
oracle_selected_glyphs\月\6097b10a-83c8-4ea2-89df-5ff8c76093bd.png,月,oracle,1.8716531,10.306232
oracle_selected_glyphs\月\98f78dab-ba75-462a-a537-6330a685f14d.png,月,oracle,2.0140522,10.926345
oracle_selected_glyphs\月\a364f38d-bfe9-47ab-9e63-b875e77a44a7.png,月,oracle,1.6789285,10.198912
oracle_selected_glyphs\月\a9605940-e99c-44ea-80e0-ff9ef55f924b.png,月,oracle,2.3203251,11.253086
oracle_selected_glyphs\示\9e7b7a0e-4319-4557-b140-b8c5a0223ac0.png,示,oracle,1.5669454,10.702774
oracle_selected_glyphs\祀\1d78e5b6-facf-46f9-ae97-e08ef2f4636f.png,祀,oracle,2.8960774,12.383638
oracle_selected_glyphs\祀\30a0590c-e498-4954-9f1e-17a80fe80c97.png,祀,oracle,3.1796374,11.890299
oracle_selected_glyphs\祀\38177691-c2ce-487c-8445-7c4aa53d5679.png,祀,oracle,3.3218427,11.2751665
oracle_selected_glyphs\祀\7b0df45d-02b4-4a77-a8ba-dec55638d5e6.png,祀,oracle,3.1792805,11.494723
oracle_selected_glyphs\祀\a4e644ce-60c6-4272-8a00-e1d553703df8.png,祀,oracle,2.883669,10.8077345
oracle_selected_glyphs\祀\c9e0b16c-58dd-4243-8e0b-93ea54612dff.png,祀,oracle,2.9320838,11.749596
oracle_selected_glyphs\祖\0cbd3b66-7c19-41cd-a501-c35a18294171.png,祖,oracle,1.5818483,10.997004
oracle_selected_glyphs\祖\0f5cc082-9ee6-47b6-9b5c-28d482296d2e.png,祖,oracle,0.7199554,12.994501
oracle_selected_glyphs\祖\5e67ba31-210f-4c10-b327-1f6f944a3e40.png,祖,oracle,0.98684394,12.675067
oracle_selected_glyphs\祖\e895486f-a615-4cc1-a91d-c4ae65b545c9.png,祖,oracle,0.82514864,12.94402
oracle_selected_glyphs\祝\04dcd778-b421-4ad0-a0b1-b9c70ce505ff.png,祝,oracle,2.7932036,12.709142
oracle_selected_glyphs\祝\2008ab9d-ac1e-4a53-84c3-19494931b76d.png,祝,oracle,1.0953358,13.145642
oracle_selected_glyphs\祝\2542fc0f-291b-4e8d-82d5-e8978c060110.png,祝,oracle,2.0005648,12.5771885
oracle_selected_glyphs\祝\3fa2214a-cfa3-4807-b1d2-c5a61842e1a5.png,祝,oracle,2.1275928,12.945115
oracle_selected_glyphs\祝\bc59a1a4-bba0-45c2-82e6-a968b3b3c542.png,祝,oracle,0.40914366,12.528477
oracle_selected_glyphs\祭\036bc5c9-9fe7-4866-9d56-258d0d30238a.png,祭,oracle,1.7354289,12.845822
oracle_selected_glyphs\祭\2f110916-d290-4c9a-871a-38ff47a7fc86.png,祭,oracle,2.7865067,9.554849
oracle_selected_glyphs\祭\320f8abb-e273-49f9-96ba-ec07292e3342.png,祭,oracle,2.5498643,9.224382
oracle_selected_glyphs\祭\3fdede31-64ab-4c9e-870c-dab09cd7c958.png,祭,oracle,2.4168649,12.813956
oracle_selected_glyphs\祭\9509c971-2c8a-4871-9f7f-0bc08875243f.png,祭,oracle,2.255695,13.261276
oracle_selected_glyphs\祭\cc44a6d2-31fb-45f6-aec1-7f822728e325.png,祭,oracle,2.1521888,12.660033
oracle_selected_glyphs\鬼\0916962e-918a-4397-8a4a-a749e000ea46.png,鬼,oracle,0.00032990263,10.167298
oracle_selected_glyphs\鬼\3665bb8c-91ef-450a-98da-cd699480b888.png,鬼,oracle,0.9178073,9.5063715
oracle_selected_glyphs\鬼\65d739b1-26bf-47d6-8b49-b010bf1b78a2.png,鬼,oracle,0.03940518,10.454552
oracle_selected_glyphs\鬼\b9c46220-d7a7-4281-b7ea-a9290e63ea0f.png,鬼,oracle,1.806988,13.251335
oracle_selected_glyphs\鬼\c6f138c7-3158-4346-b723-51375106f92f.png,鬼,oracle,0.26510343,9.7775545
oracle_selected_glyphs\鬼\e9f88fff-4db0-4740-bf5d-59ee7bdef87e.png,鬼,oracle,-0.27333307,10.264725
