file,label,象形度,聚类紧密度,结构相似度,语义匹配度,模型一致度,独特性,轮廓复杂度,图像熵,视觉复杂度
oracle_selected_glyphs\人\1.png,人,0.7554582184436275,0.17593058943748474,0.8857075911061582,0.2797051760503866,0.044189453125,0.11429240889384185,3.4296875,2.673897779723339,0.01168060302734375
oracle_selected_glyphs\人\2.png,人,0.9014815984987745,0.14313220977783203,0.8741222118364004,0.2637923558847093,0.044189453125,0.12587778816359962,1.984375,1.645967600981118,0.00504302978515625
oracle_selected_glyphs\人\3.png,人,0.7306128408394608,0.15704455971717834,0.884225241836066,0.26569396497594666,0.044189453125,0.11577475816393401,1.984375,1.808038144338635,0.007328033447265625
oracle_selected_glyphs\人\4.png,人,0.8670639935661765,0.2129690945148468,0.8773092473385753,0.2720158139599521,0.044189453125,0.1226907526614247,3.14453125,0.9679290475019751,0.003978729248046875
oracle_selected_glyphs\人\5.png,人,0.8243427351409314,0.19321264326572418,0.854682966864662,0.2630327093853225,0.044189453125,0.14531703313533795,1.984375,2.541143369552119,0.01190185546875
oracle_selected_glyphs\卜\1.png,卜,0.9487228094362745,0.16877032816410065,0.8754299902533885,0.2596966086995366,0.044158935546875,0.12457000974661148,1.984375,0.7976704202201013,0.003284454345703125
oracle_selected_glyphs\卜\2.png,卜,0.5974590226715686,0.08621431142091751,0.7906973013410542,0.23294550022223026,0.044189453125,0.2093026986589458,1.984375,2.698075824931724,0.0132293701171875
oracle_selected_glyphs\卜\3.png,卜,0.9411463120404412,0.13394999504089355,0.8665462978451737,0.25501142276057726,0.044158935546875,0.13345370215482633,1.984375,0.7840353717573671,0.0031795501708984375
oracle_selected_glyphs\卜\4.png,卜,0.7980693742340687,0.176299586892128,0.8783235955824973,0.25920530211043874,0.044189453125,0.12167640441750271,1.984375,2.2404271506114655,0.00875091552734375
oracle_selected_glyphs\占\1.png,占,0.6443254059436274,0.15790461003780365,0.8416477156938768,0.2690642326794397,0.044158935546875,0.15835228430612325,1.984375,4.3913163675957705,0.0200653076171875
oracle_selected_glyphs\占\2.png,占,0.8232053270526961,0.16411730647087097,0.8315819889437361,0.26885623908929307,0.044158935546875,0.16841801105626386,1.984375,2.4899302289136163,0.01235198974609375
oracle_selected_glyphs\占\3.png,占,0.7944513059129902,0.17903462052345276,0.8521907502688632,0.2759387389614205,0.04412841796875,0.14780924973113685,1.984375,2.5668236892726566,0.0122222900390625
oracle_selected_glyphs\占\4.png,占,0.871875,0.15006496012210846,0.8675360789463676,0.2868038589519717,0.044189453125,0.13246392105363236,1.984375,1.7440069925954098,0.00830078125
oracle_selected_glyphs\史\1.png,史,0.7389471315870098,0.07639098167419434,0.8225508908198951,0.24156664699112249,0.044158935546875,0.17744910918010492,1.984375,3.35379351843663,0.01499176025390625
oracle_selected_glyphs\史\2.png,史,0.7659840303308824,0.09992478042840958,0.839370845284596,0.25621194006939735,0.044189453125,0.16062915471540395,2.1015625,5.209725092983382,0.0255126953125
oracle_selected_glyphs\史\3.png,史,0.8652027803308824,0.12810452282428741,0.8710984246092283,0.28185648321518286,0.044189453125,0.12890157539077174,1.984375,1.742876481679821,0.00821685791015625
oracle_selected_glyphs\史\4.png,史,0.7963158700980393,0.11096491664648056,0.8521300740540351,0.25567224789135046,0.044189453125,0.14786992594596493,1.984375,3.013341982814107,0.01204681396484375
oracle_selected_glyphs\史\5.png,史,0.7662698184742647,0.07899687439203262,0.8543761528434435,0.27051062627762235,0.044189453125,0.14562384715655652,1.984375,2.5483971958640566,0.0115203857421875
oracle_selected_glyphs\巫\1.png,巫,0.7691473268995098,0.1334555745124817,0.8702050071603629,0.28168853390914156,0.044189453125,0.12979499283963714,4.50390625,3.320578834018869,0.0157470703125
oracle_selected_glyphs\巫\2.png,巫,0.7317014208026961,0.10089518874883652,0.8496619899619957,0.27584932493893166,0.044189453125,0.1503380100380043,1.984375,4.066586391771582,0.019927978515625
oracle_selected_glyphs\巫\3.png,巫,0.810293638939951,0.09124875068664551,0.8662953043079962,0.2678588374399405,0.044189453125,0.13370469569200383,1.96875,3.2662452786042673,0.01479339599609375
oracle_selected_glyphs\巫\4.png,巫,0.835107421875,0.11788344383239746,0.8752363096048876,0.26480512072307993,0.044189453125,0.12476369039511237,1.984375,2.6506761881561305,0.01052093505859375
oracle_selected_glyphs\巫\5.png,巫,0.5534213196997548,0.10721379518508911,0.8740140501964179,0.27255521398147864,0.044189453125,0.12598594980358213,1.984375,4.026468465328876,0.0197906494140625
oracle_selected_glyphs\帝\1.png,帝,0.7542384727328432,0.1106385663151741,0.8826386299118798,0.28245580251784796,0.044158935546875,0.1173613700881202,1.984375,2.7254067704679548,0.01263427734375
oracle_selected_glyphs\帝\2.png,帝,0.7283815870098039,0.08621558547019958,0.8681422146893829,0.262283420130861,0.044189453125,0.1318577853106171,1.984375,2.7882950991748827,0.01326751708984375
oracle_selected_glyphs\帝\3.png,帝,0.8175096698835784,0.12852118909358978,0.8877828638490636,0.27804370647135235,0.044158935546875,0.11221713615093643,1.984375,2.309615586774948,0.0105133056640625
oracle_selected_glyphs\帝\4.png,帝,0.7351821001838235,0.10519611090421677,0.878032166474454,0.2761112561096576,0.044158935546875,0.12196783352554597,1.984375,2.306427831354588,0.01070404052734375
oracle_selected_glyphs\帝\5.png,帝,0.7944709329044117,0.09354550391435623,0.8526239341493961,0.2883101379253086,0.044189453125,0.14737606585060392,1.984375,2.6512448538859172,0.0124053955078125
oracle_selected_glyphs\日\1.png,日,0.6627963196997548,0.1834275722503662,0.775526695180796,0.23417458633017882,0.04412841796875,0.22447330481920402,1.984375,3.9435275486029773,0.0189361572265625
oracle_selected_glyphs\日\2.png,日,0.5982723460477941,0.204396054148674,0.8138711798527807,0.269020325861806,0.044158935546875,0.18612882014721932,1.984375,5.421800523375147,0.0259552001953125
oracle_selected_glyphs\日\3.png,日,0.3793375651041667,0.18356041610240936,0.7237653186353742,0.25325516862852365,0.044189453125,0.2762346813646258,1.984375,4.253490911397755,0.0254364013671875
oracle_selected_glyphs\日\4.png,日,0.6767415364583333,0.18065278232097626,0.8397129066836727,0.2654874972858594,0.044158935546875,0.1602870933163273,1.984375,3.278640226991874,0.0169677734375
oracle_selected_glyphs\星\1.png,星,0.8360940372242647,0.15782926976680756,0.8723011773372282,0.2907312054094685,0.044189453125,0.12769882266277177,1.984375,2.0671600208293115,0.0104827880859375
oracle_selected_glyphs\星\2.png,星,0.8695216758578431,0.10413669794797897,0.8059963384908937,0.27174384668649887,0.04412841796875,0.1940036615091063,1.984375,1.8370708171181909,0.0077972412109375
oracle_selected_glyphs\星\3.png,星,0.7253542432598039,0.13145074248313904,0.8463017064192093,0.28838825369233884,0.044189453125,0.15369829358079068,1.984375,3.4774253699614155,0.01470184326171875
oracle_selected_glyphs\星\4.png,星,0.8417590571384804,0.11951534450054169,0.8796752078163441,0.2785671413089658,0.044189453125,0.12032479218365588,1.984375,2.906998253093694,0.0115966796875
oracle_selected_glyphs\星\5.png,星,0.8009090647977941,0.1278572827577591,0.859688006742359,0.2939188008327373,0.044189453125,0.140311993257641,1.96875,2.2982250479804005,0.0093536376953125
oracle_selected_glyphs\星\6.png,星,0.8293538411458333,0.1609845757484436,0.866107229937038,0.2638565163973209,0.044189453125,0.13389277006296196,2.37890625,2.0951764606149013,0.0098724365234375
oracle_selected_glyphs\月\1.png,月,0.7492043887867648,0.17415156960487366,0.8388807892323608,0.27841507024850864,0.044189453125,0.16111921076763924,4.80078125,2.2332532523876365,0.00991058349609375
oracle_selected_glyphs\月\2.png,月,0.8619327320772059,0.17950326204299927,0.8815249939856652,0.2842871128539994,0.044189453125,0.1184750060143348,1.984375,1.3741404425318018,0.006740570068359375
oracle_selected_glyphs\月\3.png,月,0.6878901462928921,0.19392766058444977,0.8900406780204535,0.26778957604227255,0.044158935546875,0.1099593219795465,3.56640625,2.958470527927302,0.013641357421875
oracle_selected_glyphs\月\4.png,月,0.8425714231004902,0.2073996663093567,0.8191036267272354,0.270075997656319,0.044189453125,0.18089637327276464,1.984375,1.768221507132214,0.006862640380859375
oracle_selected_glyphs\月\5.png,月,0.7956308402267157,0.19215546548366547,0.8510432422408064,0.2531837909464354,0.044189453125,0.1489567577591936,1.984375,2.5132305741971246,0.01111602783203125
oracle_selected_glyphs\月\6.png,月,0.6236514820772059,0.18864351511001587,0.8130798128675103,0.28678460625944796,0.044189453125,0.1869201871324897,1.984375,4.078636771587965,0.03094482421875
oracle_selected_glyphs\示\1.png,示,0.9058493221507353,0.21521514654159546,0.8643754578041153,0.2597237846980586,0.044189453125,0.1356245421958847,1.984375,2.460063119861372,0.0098724365234375
oracle_selected_glyphs\祀\1.png,祀,0.8682760799632353,0.10434414446353912,0.850964478001272,0.2689948596105942,0.044219970703125,0.14903552199872805,1.984375,1.9329505872576827,0.00844573974609375
oracle_selected_glyphs\祀\2.png,祀,0.6888901654411765,0.1064046248793602,0.8436708370398409,0.2523791974235623,0.044219970703125,0.15632916296015908,2.81640625,2.081190889954119,0.0085906982421875
oracle_selected_glyphs\祀\3.png,祀,0.8148054534313726,0.10819045454263687,0.8687635982236002,0.2706973107425802,0.044189453125,0.13123640177639984,1.984375,1.6865075019609441,0.00762176513671875
oracle_selected_glyphs\祀\4.png,祀,0.8019794538909314,0.11683240532875061,0.8692900282357693,0.29597315998695517,0.044158935546875,0.13070997176423071,1.984375,1.6010870308138745,0.00833892822265625
oracle_selected_glyphs\祀\5.png,祀,0.7961861404718137,0.14404131472110748,0.8966980218424728,0.2934387891857117,0.044158935546875,0.10330197815752717,1.984375,1.5910707871250245,0.006984710693359375
oracle_selected_glyphs\祀\6.png,祀,0.7838264016544118,0.1295977085828781,0.8691052016500156,0.28425283271807766,0.044189453125,0.1308947983499844,1.984375,1.8098560186699444,0.00788116455078125
oracle_selected_glyphs\祖\1.png,祖,0.6159155752144607,0.2174052894115448,0.8760655921102544,0.2721044486247646,0.044189453125,0.12393440788974563,1.984375,5.095443442352064,0.0261688232421875
oracle_selected_glyphs\祖\2.png,祖,0.6649672564338236,0.08706030249595642,0.8741441650408005,0.27814530228523315,0.044189453125,0.1258558349591995,1.984375,4.101765832302884,0.020599365234375
oracle_selected_glyphs\祖\3.png,祖,0.6670213886335784,0.11630943417549133,0.8609802958453454,0.25995038530363795,0.044189453125,0.1390197041546546,1.984375,5.22581453787098,0.026580810546875
oracle_selected_glyphs\祖\4.png,祖,0.6728534773284314,0.09349892288446426,0.8134821793943531,0.24408619040878432,0.044189453125,0.18651782060564692,1.984375,4.114141213573792,0.020416259765625
oracle_selected_glyphs\祝\1.png,祝,0.7430592256433823,0.0924433022737503,0.8399636624660638,0.27587214410891914,0.044189453125,0.1600363375339362,1.984375,2.4087567405225485,0.01287078857421875
oracle_selected_glyphs\祝\2.png,祝,0.7862319048713236,0.0867050290107727,0.860623215156185,0.25181986439708803,0.044189453125,0.139376784843815,1.984375,3.1897401641997036,0.01495361328125
oracle_selected_glyphs\祝\3.png,祝,0.7871787875306373,0.1316511631011963,0.8635978537933933,0.27171053095769326,0.044189453125,0.13640214620660673,1.984375,3.033157291650683,0.01206207275390625
oracle_selected_glyphs\祝\4.png,祝,0.7791815065870098,0.10143867880105972,0.855740693378227,0.29815642304665874,0.044158935546875,0.144259306621773,1.984375,3.253257866790737,0.01493072509765625
oracle_selected_glyphs\祝\5.png,祝,0.766506778492647,0.10163755714893341,0.8668624255484139,0.2556007980148466,0.044219970703125,0.13313757445158614,1.984375,3.041193618578854,0.0128021240234375
oracle_selected_glyphs\祭\1.png,祭,0.6868628408394608,0.11405299603939056,0.8795903965750296,0.28005537812190223,0.044189453125,0.12040960342497042,3.03125,3.1053594189021796,0.01485443115234375
oracle_selected_glyphs\祭\2.png,祭,0.7993192784926471,0.09793708473443985,0.883085135974035,0.2701060741465264,0.044189453125,0.11691486402596496,2.03515625,1.9781331287492154,0.00798797607421875
oracle_selected_glyphs\祭\3.png,祭,0.8516965379901961,0.08871129155158997,0.8316508718524384,0.23464088933982694,0.044189453125,0.16834912814756164,1.984375,1.5085264247223955,0.0068359375
oracle_selected_glyphs\祭\4.png,祭,0.6871371400122549,0.1020788624882698,0.8562018877772373,0.2891949246323549,0.044189453125,0.14379811222276273,1.984375,3.2441100858210277,0.015869140625
oracle_selected_glyphs\祭\5.png,祭,0.8306559244791667,0.07714471220970154,0.8683161607848088,0.25358720901491777,0.044189453125,0.13168383921519122,2.07421875,2.0435799762778695,0.009124755859375
oracle_selected_glyphs\祭\6.png,祭,0.720910405177696,0.12179245799779892,0.8751116676683732,0.27753015144843696,0.044189453125,0.12488833233162677,1.984375,2.8425492835819064,0.01284027099609375
oracle_selected_glyphs\鬼\1.png,鬼,0.8748994715073529,0.11542405188083649,0.864104870959259,0.2635503941262233,0.044219970703125,0.13589512904074097,1.984375,1.68600056805611,0.00780487060546875
oracle_selected_glyphs\鬼\2.png,鬼,0.8358522901348039,0.12694059312343597,0.8875996784866238,0.26730754921415883,0.044189453125,0.1124003215133762,1.984375,2.4910751367336066,0.01052093505859375
oracle_selected_glyphs\鬼\3.png,鬼,0.7231713388480392,0.1267578899860382,0.8788888042809619,0.27487646847861025,0.044189453125,0.12111119571903806,4.46484375,3.0434680639558143,0.01345062255859375
oracle_selected_glyphs\鬼\4.png,鬼,0.779058957567402,0.0839281901717186,0.8754690149596285,0.26704744157643123,0.044189453125,0.12453098504037152,1.9765625,2.230902218997665,0.01110076904296875
oracle_selected_glyphs\鬼\5.png,鬼,0.9081614774816177,0.11486916989088058,0.8715381304472618,0.26385484743187493,0.044189453125,0.1284618695527382,1.984375,1.384376986576336,0.006145477294921875
oracle_selected_glyphs\鬼\6.png,鬼,0.8678284888174019,0.09883062541484833,0.8854985093830718,0.2648565895796307,0.044158935546875,0.11450149061692816,2.015625,1.3690839942497615,0.00608062744140625
